City,Lon,Lat,Temperature,Humidity,Cloudiness,Wind Speed
Dakar,-17.45,14.69,25.63,78,20,5.1
Buin,-70.74,-33.73,17.55,38,44,2.6
Davila,120.58,18.47,25.0,100,90,1.5
Biograd na Moru,15.45,43.94,18.49,82,75,3.6
Parabel,81.5,58.71,10.85,64,80,5.47
Bikaner,73.32,28.02,38.45,11,2,3.33
Naze,7.07,5.43,26.95,80,83,2.57
Beyneu,55.19,45.32,20.65,66,54,8.21
Broken Hill,141.45,-31.97,7.0,75,0,4.1
Defiance,-84.36,41.28,23.49,44,1,4.1
Wai,73.89,17.95,25.95,82,0,0.61
Pangnirtung,-65.72,66.15,3.0,74,75,6.7
Tvoroyri,-6.81,61.56,4.0,69,100,6.2
Yanam,82.22,16.73,30.65,78,54,4.02
Mount Gambier,140.78,-37.83,10.0,93,40,5.1
San Cristobal,-78.55,-0.39,19.37,53,40,6.2
